x,y,amplitude,angle,rob,action 0,action 1,action 2,action 3,action 4,action 5
5,0,2,4,1,-1.3448232926084367,-1.1834359471472318,-1.486235072201768,-1.5089472214934465,-1.2871211103027465,-1.490765439880383
4,2,2,4,1,-4.219129252467586,-4.409582383580999,-2.9373728469506046,-3.447991561454341,0.02111386534866616,-3.439312341429436
2,4,2,4,1,-8.298003226938112,-9.775,-10.0,-2.9782239593501756,-8.948238755841137,-10.0
5,0,1,4,1,-0.2557308170328955,0.7677872848263009,-0.2191350885150716,-0.24413972816147833,0.12717995646026972,-0.16692621159702803
4,1,1,4,2,,0.7761263515566962,-0.6400476508488658,-0.5793293716672329,-0.9140496659261697,-0.6905693851404784
4,2,1,4,2,,2.205269338425084,-0.5585478272139838,-0.012983220099600963,-0.045125527075710714,-0.2237464306475354
3,3,1,4,2,,0.9064692480616321,-0.4355392640563335,-0.6448188706210634,-0.9339915642123904,-1.02553692869226
2,4,1,4,2,,3.3876548722452813,-9.743738163123107,-2.572550769638889,-1.4226285796760063,-1.6493836008148017
1,5,1,4,2,,-10.0,-9.999488368808551,-10.0,-10.0,-10.0
5,1,2,4,1,-1.7730114973627442,-1.6414677259019965,-0.6969253630220437,-1.6326236361500097,-1.6622990702519582,-1.6763004858724027
4,4,2,4,1,0.4051748442262955,-4.619312533702726,-5.103042797956719,-4.5680336246376445,-4.73504394567813,-5.013890350495578
2,6,2,4,1,-10.0,-10.0,-10.0,-9.475509161154804,-10.0,-9.775
5,4,3,3,1,-1.5692333983927502,0.6817458252439327,-1.4576509002842752,-1.437459011394802,-2.2776007183331073,-2.075962831706708
3,2,3,3,1,-10.0,-3.919404385202185,-5.647498209999999,-10.0,-10.0,-10.0
1,0,3,3,1,-10.0,-8.093975366479544,-10.0,-10.0,-10.0,-10.0
2,2,2,4,1,-10.0,-9.81775,-4.641039100236399,-6.6531524283951855,-9.083292405247798,2.573344532160492
5,1,3,4,1,-4.515844739701239,-4.135336670448802,-3.2685824349235495,-4.194428352666653,-4.421260959200259,-4.452069626774707
3,4,3,4,1,-8.557001752523341,-9.75,-8.610889530886686,-5.588052235883475,-10.0,-8.373261915605537
1,8,3,4,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
5,6,1,3,1,0.004633233431000707,0.16041440285246217,0.5841443006431363,0.025249130604186893,0.17370874870076844,0.17319960031868892
4,5,1,3,1,-0.10450165029515288,-0.011423314867696661,0.019695128911179763,0.7003450941870984,0.052588726006698935,0.13208259893895224
2,4,1,3,0,1.3869042401736977,,-1.1479518698023987,-0.8644269774439092,-0.75,-1.2615770600509244
1,3,1,3,0,-10.0,,-10.0,-1.969855875447366,-10.0,-10.0
5,2,3,3,1,-3.3126571933168174,2.672567159936355,-2.6506209158289744,-1.987380100084247,-3.5533757327840205,-2.9031321986412535
3,1,3,3,1,-10.0,-10.0,-6.5467837891,-6.613535025165,-10.0,-6.762567172175424
5,0,3,3,1,-4.299574569397889,-2.26614916279411,-4.498694457102373,-3.7323486030775177,-4.432085318297357,-4.250339381219577
3,0,3,3,2,,-10.0,-10.0,-10.0,-10.0,-8.677042184135265
5,3,2,4,1,-1.3307296687338634,-1.5949384203609782,-0.9751026817689872,-1.4233502607072603,-1.3490771537925976,-0.024280274138072683
4,5,2,4,0,-0.6932460871944157,,-0.576388125,-0.9948931781841401,-0.6615633016591649,-0.7753395000000002
2,3,2,4,2,,-10.0,-10.0,-10.0,-10.0,-8.883116124781765
5,6,2,4,1,2.005767463265674,-0.13213237774486897,0.6429525740807635,0.5776155244294958,0.528295380682396,0.3585223918914652
4,7,2,4,0,-0.6690567716234755,,-0.362330625,-0.2883825,-0.1425,-0.39672284700000005
2,8,2,3,0,-10.0,,-6.659531465556,-10.0,-10.0,-10.0
5,5,2,3,1,-1.005209059880107,-0.6949994069753368,-0.9996612189773085,-0.9291566905409993,0.5331672013268174,-0.9096987488417093
4,2,2,3,2,,-0.5430146011333757,,-0.549395544125325,0.0,0.0
2,0,2,3,2,,-10.0,-10.0,-10.0,-8.245112220008343,-10.0
5,6,3,3,1,-5.290049465750143,-2.9012048497918705,-5.217359242622135,-5.2900218283685705,-5.225791290925868,-5.2613162838398795
3,3,3,3,1,-9.525,-10.0,-10.0,-8.841559182306842,-9.335585553065187,-9.076200865471613
5,4,1,4,1,0.37297407771327484,0.10195763295341667,1.2552180991174697,0.33350296664319323,0.30761149560048795,0.7229869809103255
4,6,1,4,0,1.08427199813459,,,0.0,0.0,0.0
3,7,1,4,0,-0.6530982423408702,,0.0,0.0,-0.75,-0.07500000000000001
2,8,1,4,0,-1.6454746044024366,,-1.675,-2.0325,-1.675,-1.9
1,7,1,3,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
5,5,2,4,1,1.1943553792104402,0.0,0.9445634385217769,1.202770767474449,1.4402440193459383,0.5443040186683863
3,7,2,4,2,,-2.0325,0.7499784988320246,0.0,4.835789153248786,0.0
1,8,2,4,2,,-10.0,-10.0,9.999965689808135,-10.0,-10.0
3,0,3,4,2,,-8.36316190052289,-9.0,-10.0,-10.0,-10.0
1,2,3,4,1,-10.0,-10.0,-10.0,-10.0,-10.0,-4.410052890818861
5,8,2,3,1,-1.34268585231373,-1.270012908502792,-1.3335207470826012,-1.4321252620452791,-1.340705269026922,-0.9633008333329074
4,8,2,3,1,-4.065640433083111,-4.271747415120915,-4.1262542119173,-4.197995840286874,-4.299757811600854,-4.11542125396682
2,7,2,3,1,-9.233021841642387,-9.775,-10.0,-6.39339885626782,-9.229662933894028,-9.288665342524446
4,1,1,4,1,-0.9318628853104967,-0.9196712237579027,0.7245494991818948,-0.6113498899012113,-0.7234941103713715,-0.5967417453268932
3,3,1,4,1,-0.577861813956833,-1.0983848522256856,0.19494137209124116,-0.390382384080731,-0.30574929573632187,3.6060681585012024
2,4,1,4,1,-2.7766000750713693,-9.525,-8.671243063437814,3.239067945575582,-1.3120552944310857,-1.2291873771596207
1,6,1,4,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
5,8,3,3,1,-4.30460030752241,-4.383024684212462,-3.266886521322059,-4.322010384914844,-4.340848281868942,-4.397329430390835
3,6,3,3,1,-9.6023775,-9.36525,-5.5304307536850414,2.89747500504819,-5.7685257040504245,-6.955171308947235
5,6,2,3,1,-1.4830097683850387,-1.244436317226786,-1.5078616647581025,-1.188960024866467,-1.344691597536532,0.20519087631834065
4,5,2,3,1,-4.013466947726074,-4.419794631700989,-4.227332703314468,-3.5391606363356507,-4.08734422160782,-3.192543084099707
2,3,2,3,1,-9.525,-10.0,-9.177587546065185,-10.0,-10.0,-9.047757754465355
